exprhash,RowCount,InputCardinality,RowSql,Column,input,jobid,Op,Value,Selectivity
845697540102295928657811596227970506096002273384,9904,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'B42',n.surname_pcode,n,1,=,'B42',0.002376489835250994
845697540102295928657811596227970506096002273384,21961,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'B65',n.surname_pcode,n,1,=,'B65',0.005269597462837952
845697540102295928657811596227970506096002273384,6733,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'F652',n.surname_pcode,n,1,=,'F652',0.0016156003696228738
845697540102295928657811596227970506096002273384,16158,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'H2',n.surname_pcode,n,1,=,'H2',0.003877152944061547
845697540102295928657811596227970506096002273384,12703,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'H4',n.surname_pcode,n,1,=,'H4',0.0030481169605405265
845697540102295928657811596227970506096002273384,20597,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'J52',n.surname_pcode,n,1,=,'J52',0.004942302214929798
845697540102295928657811596227970506096002273384,19225,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'L2',n.surname_pcode,n,1,=,'L2',0.004613087346799309
845697540102295928657811596227970506096002273384,15079,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'L5',n.surname_pcode,n,1,=,'L5',0.003618244166574085
845697540102295928657811596227970506096002273384,30755,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'R2',n.surname_pcode,n,1,=,'R2',0.007379739992239935
845697540102295928657811596227970506096002273384,20068,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'S53',n.surname_pcode,n,1,=,'S53',0.004815367327727882
845697540102295928657811596227970506096002273384,11426,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'W3',n.surname_pcode,n,1,=,'W3',0.0027416975825502684
845697540102295928657811596227970506096002273384,10182,4167491,SELECT COUNT(*) from name AS n WHERE n.surname_pcode  = 'W42',n.surname_pcode,n,1,=,'W42',0.002443196637977143
261319378975483853722178487332059663736625857792,1,7,SELECT COUNT(*) from kind_type AS kt WHERE kt.kind  = 'episode',kt.kind,kt,1,=,'episode',0.14285714285714285
261319378975483853722178487332059663736625857792,1,7,SELECT COUNT(*) from kind_type AS kt WHERE kt.kind  = 'tv series',kt.kind,kt,1,=,'tv series',0.14285714285714285
